日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-05-08,=11922.5600,=23114.5500,=21832280367329.1797,=16621327921790,=6076138979300.7373,=9.1288,=0.8567,=8.5653,=7.4048,=6.0616
2025-12-31,=11791.3100,=22773.0200,=24187709765201.4102,=16994965886214,=6770439021007.1895,=9.5875,=0.8933,=8.4412,=7.3402,=6.0413
2024-12-31,=11875.2400,=21904.1900,=22722149302614.9375,=14622533151048,=5604868712323.5508,=8.2794,=0.8251,=8.1675,=7.1914,=5.9835
2023-12-29,=10537.0400,=18463.3300,=11360099254071.5469,=8275567243876,=2925950079054.8989,=5.8576,=0.1651,=8.2855,=7.2907,=5.9344
2022-12-30,=9690.5100,=16301.5000,=13509113132460.2363,=9643059547883,=3928330827301.2012,=5.5850,=0.0719,=8.4734,=7.5022,=5.9635
2021-12-31,=10086.2704,=16176.2200,=11908111927934.6211,=8501105628925,=2953083800379.2500,=5.6743,=0.0116,=8.6626,=7.7304,=7.1499
2020-12-31,=8855.0048,=13562.5600,=15406475035671.3594,=11181271373909,=4539136257936.8213,=7.6800,=0.3872,=9.9631,=7.8956,=7.3476
2019-12-31,=9033.8200,=13252.6500,=15872436505573.5000,=11713145591909,=3997180008899.1802,=7.9864,=0.4205,=10.2524,=8.2780,=7.4455
2018-12-28,=8035.3800,=11338.6200,=11848321825003.1992,=8228319447919,=2751574399477.1318,=7.0804,=0.0128,=10.4506,=9.1322,=8.1845
2017-12-29,=9679.8400,=13202.4100,=14628368280957,=10403129141290,=3250919146672.2798,=9.8350,=0.0946,=10.7226,=10.3770,=10.1818
2017-05-26,=9588.4200,=12742.4000,=18522546401955.6016,=13832642170802,=4838446138132.0654,=10.4781,,=10.4781,=10.4781,=10.4781

数据来源于：理杏仁网站(lixinger.com)