日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率市值加权,股息率 分位点,股息率 80%分位点值,股息率 50%分位点值,股息率 20%分位点值
2026-05-08,=11922.5600,=23114.5500,=21832280367329.1797,=16621327921790,=6076138979300.7373,=0.0443,=0.3014,=0.0562,=0.0472,=0.0430
2025-12-31,=11791.3100,=22773.0200,=24187709765201.4102,=16994965886214,=6770439021007.1895,=0.0462,=0.4105,=0.0563,=0.0474,=0.0428
2024-12-31,=11875.2400,=21904.1900,=22722149302614.9375,=14622533151048,=5604868712323.5508,=0.0562,=0.7937,=0.0562,=0.0484,=0.0417
2023-12-29,=10537.0400,=18463.3300,=11360099254071.5469,=8275567243876,=2925950079054.8989,=0.0564,=0.8355,=0.0558,=0.0467,=0.0404
2022-12-30,=9690.5100,=16301.5000,=13509113132460.2363,=9643059547883,=3928330827301.2012,=0.0605,=0.9450,=0.0529,=0.0461,=0.0394
2021-12-31,=10086.2704,=16176.2200,=11908111927934.6211,=8501105628925,=2953083800379.2500,=0.0537,=0.9545,=0.0479,=0.0447,=0.0384
2020-12-31,=8855.0048,=13562.5600,=15406475035671.3594,=11181271373909,=4539136257936.8213,=0.0467,=0.7984,=0.0467,=0.0435,=0.0329
2019-12-31,=9033.8200,=13252.6500,=15872436505573.5000,=11713145591909,=3997180008899.1802,=0.0433,=0.6409,=0.0447,=0.0403,=0.0319
2018-12-28,=8035.3800,=11338.6200,=11848321825003.1992,=8228319447919,=2751574399477.1318,=0.0469,=0.9872,=0.0409,=0.0335,=0.0308
2017-12-29,=9679.8400,=13202.4100,=14628368280957,=10403129141290,=3250919146672.2798,=0.0316,=0.4595,=0.0326,=0.0317,=0.0305
2017-05-26,=9588.4200,=12742.4000,=18522546401955.6016,=13832642170802,=4838446138132.0654,=0.0329,,=0.0329,=0.0329,=0.0329

数据来源于：理杏仁网站(lixinger.com)